S. No,Location,Time
1,"Houston, USA",2017
2,"London, England",2018
2,"London, England",2018
3,Australia,2018
4,"London, England",2019
4,"London, England",2019
5,"Mexico City, Mexico",2021
6,"Orlando, USA",2022
6,"Orlando, USA",2022
7,"London, England",2022
8,"Dusseldorf, Germany",2022
8,"Dusseldorf, Germany",2022
9,"London, England",2023
10,"Orlando, USA",2023
10,"Orlando, USA",2023
11,"Dusseldorf, Germany",2023
12,"Anaheim, USA",2023
12,"Anaheim, USA",2023
13,"London, England",2024
14,"Dusseldorf, Germany",2024
14,"Dusseldorf, Germany",2024
16,"Anaheim, USA",February 2025
17,"Dusseldorf, Germany",March 2025
17,"Dusseldorf, Germany",March 2025
18,"Shanghai, China",May 2025
19,"London, England",October 2025
19,"London, England",October 2025
15,Mexico,2026
15,Mexico,2026
